token_id,image,head,eyes,core,clothing,weapon
19,https://assets.otherside.xyz/kodas/e1634cedf40bc06a552e07d80d4d010243ee006987333d27b43ea83c891165fa.png,Swordfish,Aquatic Ogle,Hypnotic,Butchers Belt,
20,https://assets.otherside.xyz/kodas/f786a7fd6a3173028e8d8189b3baa9f2fa1ecf83d18f709c43d2ce9edb9633a5.png,Green Gill,Twins,Monster Smoke,,
21,https://assets.otherside.xyz/kodas/dd223ab5689e4b1c0ffd4397c72bf509157c9c380000725e640626bb2a948a5b.png,Blue Crown,Crusty,Skeletron,Wasterider Pauldrons,
22,https://assets.otherside.xyz/kodas/2030155c98998e5a0273e12ddc57339ae1ca6b6b049dc53670548663cc276a62.png,Coral Delight,Dual Pits,Berry Bomb,Gutterplate,Feathered Glaive
23,https://assets.otherside.xyz/kodas/35c120fb268a26193a50ee989e50dbd0124c5d7988cff0cccc4525f709e34f5b.png,Drill Sergeant,Jelly Beans,Woodland Guardian,Cobalt Squad Belt,
24,https://assets.otherside.xyz/kodas/7b726ce2eb3d5053ddff7e2498cdf5e69d27bec9e60acb5c6ff119a2b98fba36.png,Keep It Chill,Tired,Whirlpool,,
25,https://assets.otherside.xyz/kodas/36adcc52263faf1a7f02407f0aaa95a77d05b0fdc72dd3ac0f15c7aa673dcab2.png,Crystal Horned,Sad,Tranquil Water,,
26,https://assets.otherside.xyz/kodas/1df7022bbd25079821ad52b40a8e107a143bf77b93bf29378305c69abdcd10ca.png,Demon Spawn,Cave Diving,Desert Bot,,
27,https://assets.otherside.xyz/kodas/536a2ec11a0a5238dc4dd2f3a2fcc8e5eca79e55f8e031c1c43eca8b855da6b4.png,Somethings Fishy,Mycology Eyes,Islander,Wanderer Cape,Oracles Hammer
28,https://assets.otherside.xyz/kodas/3609f1307d6751a13780a25f48c39616ccf9540a074b1eb271c8ffc73f65052f.png,Blossom Bud,Purple Flame,Banana Wrapped,,Arc Wielder
29,https://assets.otherside.xyz/kodas/32d51c2c741ed81e9d94430b0806c7353a291a70ed984920f06632866c4e4be0.png,Tested Elder,Tearpaint,Desert Bot,Elite Crimson Armor,
30,https://assets.otherside.xyz/kodas/f2ccfb4bb0741c46712e1fde14705a63fb510699d2d7064a794ba6fcc8be4edd.png,Cracked Horn,Eye Of Glob,Desert Bot,Minor Light Armor,
31,https://assets.otherside.xyz/kodas/dd49f170d75740b9c71eeba1201adb0c445dc92006939ddb99c190a826bec265.png,Drill Sergeant,Steely,Woodland,,
32,https://assets.otherside.xyz/kodas/5c07cd04c5f427d4e4de28ae73dc5f61391b4b3aeb1e21ded0fcfe7a809ed663.png,Infinite Vision,Third Eye,All Sight,Cape Of Eternal Burning,
33,https://assets.otherside.xyz/kodas/406e915504244e702879f66ed5da1bfc4d71bfb46248e71d7384338350484826.png,Foreteller,Intense,All Smiles,,
34,https://assets.otherside.xyz/kodas/802a1ce430844044af5a5e5fee410aaca614af1695f3611d1d2fe09db485d047.png,Loggin Noggin,Speechless,Lava Lamp,Celestial Crystal Armor,The Clobbler
35,https://assets.otherside.xyz/kodas/76acfd0a2f1be7c5c4f5799a5004e0f89d14c3d0d4fd56bc3348c76ac460930e.png,Arachnid,Look Deep,Zebro,Brawlers Outfit,Silvertongue
36,https://assets.otherside.xyz/kodas/8bec9bbeed7cfd7f492a1ef6d6fb5aa9e8cd3090fbd84fd68a4d7cd5f836ff93.png,Great Kleos,Hypcylco,Pure Sinew,Minor Light Armor,Bramble Thumper
37,https://assets.otherside.xyz/kodas/eed79bd5a07aa10333451d14b336b64b4b8316749eea4b1d1978c0f9634980e8.png,Keep It Chill,Casper,Whirlpool,Sovereign Outfit,Tongue Tearer
38,https://assets.otherside.xyz/kodas/173737f066864b6ca2a80d0a6f0cc42dfc4e78434b06cdb1ce5dc3e5f45ad770.png,Cobalt Kudu,Chameleo,Onyx Doom,,Ox Tongue Blade
39,https://assets.otherside.xyz/kodas/274241c4c4fe78547a8ea5f7fb7af9933ffdf2fcc42858fdf4337170e09cd174.png,Viridescent Hero,Judger,Zebro,Icicle Shard Armor,
40,https://assets.otherside.xyz/kodas/b13ad911d2daca4545d5c485ba5941240b5f01374f6f14019b5a32da1cca868b.png,Springbuck,Peer Through Sky,Secret Ruins,,
41,https://assets.otherside.xyz/kodas/0638b3ba1ea0c8ec0c7edeac28ba7d2d81048f9ff0496df1028dfb6285228c8d.png,Demon Spawn,Droopy,Desert Bot,,
42,https://assets.otherside.xyz/kodas/cb88c790c4ca18cf6698a71f38db18324016b4ac0df4801908a1d3c2e83dc470.png,Stretched Thin,Release Me,Spotty,Wanderer Cape,Undergrowth Stick
43,https://assets.otherside.xyz/kodas/7b81e968692c0c9203e840c7bfe0fda029ae491b942aa79c152de9628f811717.png,Copper Coil,Maze,Orangetan,Sol Mantle,
44,https://assets.otherside.xyz/kodas/bed35338713b5c386a60689911463e0ebbfbf16108d1c5c48644086292e77068.png,Infinite Vision,Coin Slots,Lava Lamp,Mace Plate,Adventurer's Sword
45,https://assets.otherside.xyz/kodas/cacbe08683e4ba28b657696d4fad12af97ccbcc998ab28861f6b2dd08aa5bd24.png,All Ears,Readers,Pink Disco,Toasted Mantle Armor,
46,https://assets.otherside.xyz/kodas/f431e2fb9b1e733bafb33488a25839f3c1380310726cb58ec22759493663688a.png,Great Kleos,Web Crawler,Pure Sinew,,
47,https://assets.otherside.xyz/kodas/1122a85dcae29810c3efe9585cc5957bd3faf14ef8e6319d0c0a680da5810c4d.png,Blue Crown,Ocular Drive,Onyx Doom,,
48,https://assets.otherside.xyz/kodas/a60c0ed66b2e3d85ae9216d76710b99f17011f444e741af1a9423f5257d8f0ed.png,Blazin Hot,Simple Math,Floating Lava,,
49,https://assets.otherside.xyz/kodas/96a4b07b3317064c2d2866a4dc994642a1ca5b9350fae403ce83d9c12fae0479.png,Spike Cauldron,Coin Slots,Stonebase,Petrified Bands,
50,https://assets.otherside.xyz/kodas/60bea13300be290a0a6ae6034fd389f108d46ddbfd1ba34f6b2b54a7e7e7ec37.png,Fish Bowl,Crusty,Aqua Gorilla,,Bramble Thumper
51,https://assets.otherside.xyz/kodas/c1bd94a0256a666db7c406aa463313ddf6975a8caf57f2c9fee5b885572c1aa7.png,Devils Advocate,Cave Diving,8 Knit,,Staff of Wild Things
52,https://assets.otherside.xyz/kodas/f637d154bd9d4e39634f1a6ee78040f3a87a59367cd4f4321cdae22dd7f471aa.png,Drill Sergeant,Peer Review,Stoney Pecs,Eternal Drain Armor,Dual Scythe
53,https://assets.otherside.xyz/kodas/097602747107d21ac30bc4084596a24d6c68331c3df7174cc766344d15121d7d.png,Cave Crystal,Crag Glow,Grey Matter,Infiltrator,
54,https://assets.otherside.xyz/kodas/a7d98ce9a50d7c59a9836f500297074869e5d929f210ecc63f9994bbfe1c8f1c.png,Copper Coil,Emotional,Cushioned,Planet Suitor,
55,https://assets.otherside.xyz/kodas/65fb3ea44140f3ba9144f7568cf345fc8123d6934b8b614fb4ce996bd4e98173.png,Chomp Chomp,Slimey Terror,Storm Tracks,,Hallows Crescent
56,https://assets.otherside.xyz/kodas/924146a1b0f94c867ec1c152581a0ca48753909e817b32a0137a0fbfd7ed0894.png,Sturdy Helm,Steely,Magma Runes,Leader Plate,
57,https://assets.otherside.xyz/kodas/9cd72037c8150b271c4957295387bd0969aa53ea5180297b704002933571b990.png,Twisty Horn,Web Crawler,Flora Smock,Fun Guy Tunic,
59,https://assets.otherside.xyz/kodas/cf5de33c196182487bfad7fecd3dff92092d3017cc0a8fc4d82507d0c756cc09.png,Blazin Hot,Bloodshot,Lava Lamp,,Coral Clubber
60,https://assets.otherside.xyz/kodas/dab3e55828f14318f17f120f96ab7811e6ed266aa39652fe074733c34c5ecff1.png,Pink Fluff,Unistone Green,Purple Disco Monster,Wanderer Cape,
61,https://assets.otherside.xyz/kodas/2315335837f2ae4a3d5eb5560ad1a1452eff418a97dea3e54dc0ad145b9d8886.png,Scraggly,Worry Wart,Amoebatopia,Reinforced Mallow Armor,Widow Taker
63,https://assets.otherside.xyz/kodas/42bbf3c4a5de3a4df94e6a92b4f21d14ad9f4cc282491fa8121b8ee507845fe9.png,Drill Sergeant,Bulls Eye,Petrified,,
64,https://assets.otherside.xyz/kodas/9dca4207732249e5e85ee3c7ce37a23cdd7c892d37d9d15cc4ddef43547571b3.png,Skull King,Here And Everywhere,Woodland Guardian,Nomad Armor,
65,https://assets.otherside.xyz/kodas/8387af58eeb5cc5a9f5966e8207fae689cb2f49bfa83c4b0a3bb92f6b39d24ea.png,Cracked Horn,Sleepy,Lava Lamp,Ogre Armor,
66,https://assets.otherside.xyz/kodas/868470866c77006576daa270ff8b329dda55b938553ccb16c3e472de616278c2.png,Blazin Hot,Triple Threat,8 Knit,,
67,https://assets.otherside.xyz/kodas/f1074812abb514c81f3d2b4209ba4f90932ea34f8d2f68d28b77aca5665657fb.png,Tri Vent,Teething Eye,Onyx Doom,Knight Mare Armor,Occams Razor
68,https://assets.otherside.xyz/kodas/4b58791a341db9a3219ea02d426764a8922fff4ecd7a03eb33016d202d5fb579.png,Foreteller,Stay Awake,All Sight,Glutton Cape,Scavengers Blade
69,https://assets.otherside.xyz/kodas/fc199442430f2a2227abdb77fd9a15ca8f6c7abd1954a75ecd7f89a053996ef4.png,Dawn Disc,Worry Wart,Desert Bot,Gemstone Paladin,
70,https://assets.otherside.xyz/kodas/6c9cbdd9bf3b13fd9750742005895dbafaf95802d4d9294df2c4d3819c769192.png,Keep It Chill,Stubborn,Zebro,Heavy Iron Armor,
71,https://assets.otherside.xyz/kodas/49c8d082db59dbff8fa6097cf60ceb36f2f041f38ac3251352c00e522038753c.png,Deep Sea,Oval Ancients,Candy,Pluma Pauldrons,
72,https://assets.otherside.xyz/kodas/f79e7b0789e34ecc325b3b59eea8e539d3d2af8123859548a140cd81342687bd.png,Chomp Chomp,Omniscient,Tranquil Water,Desola Armor,
73,https://assets.otherside.xyz/kodas/a69648455da082644627966eefefc813e19e899fbdcc5311bd1a16e6afc7d6d9.png,Take Flight,Cave Fright,Leaf Me Alone,Deaths Call Armor,
74,https://assets.otherside.xyz/kodas/28a425f22ea64f4721a95a14066cf1169d17d9e94927f29717a2f866eeb94064.png,Winged Cheese,Droopy,Patches,,
75,https://assets.otherside.xyz/kodas/44fdf37b231d840a1714d2b21bfd6de2bab22d88a29921e7958a977a6f37261c.png,Cave Crystal,Speechless,Grey Matter,,
76,https://assets.otherside.xyz/kodas/d17d1f0b89370ea86771a8e31243865c5b2edf7f31da06c1f224e3d568c13643.png,Scraggly,Glacia Glare,Woodland,Skull Strapped Armor,Mighty Quill
77,https://assets.otherside.xyz/kodas/2e2600882b93e4e4e2fb0e15e28a7ec1fd731bfb68149610bb10d02ec5e40c60.png,Mummified,Peek Curiosity,Stonebase,,
78,https://assets.otherside.xyz/kodas/fc648e4757d6359be955461f849ca00adb3e47c5f0c13024656fda0f9d686763.png,Spike Cauldron,Crystal Grinder,Stonebase,Bubble Cape,Gargantic Hammer
79,https://assets.otherside.xyz/kodas/9910672282237b43aac41dc69fd2255a63bcbe6170fe89283ea39802d9657602.png,Chomp Chomp,Buttoned Up,Zebro,Minor Light Armor,Wavebreaker
80,https://assets.otherside.xyz/kodas/cbd82370a4febfc10ad9fd02f46440d9bcecc3eb7d5eff457591af105b500118.png,Swordfish,Open Up,Islander,,Studded Club
81,https://assets.otherside.xyz/kodas/bfebc73f8deaf9b616c668634abf5723ab9f3694fa66bb5f57a2edb71ead769b.png,Twisty Horn,Two Tone,Woodland,Angelic,Never Bokken
82,https://assets.otherside.xyz/kodas/964e16fb37cfb33f77469cff8c7d674d3e78b7939f4330ad2b4f999359aa38ab.png,Green Gill,Speechless,Hypnotic,Terra Light Armor,The Bloodletter
83,https://assets.otherside.xyz/kodas/ecb9ebecabe50e2c1f59d408107fe85720b56b8f9488f8157299709585ecb719.png,Keep It Chill,Gemini Gaze,Barnacle Buddy,,
84,https://assets.otherside.xyz/kodas/07289f8afb602db95c949079c24d267350047edb6ad89cea88294b603d2d72a4.png,Blossom Bud,Tiny,Globetrotter,Sky Merchant,Staff of Sentience
85,https://assets.otherside.xyz/kodas/a4c4cbff8cae781e7b2b609ab406c421c1da453a09b4225f314a864ad2b2737b.png,Bleached Horns,Peek Curiosity,Amoebatopia,Tattered Cape,Electro Grip
86,https://assets.otherside.xyz/kodas/2a3444e3d6fd282d96122687b378ffce89d1b509f9bc18ac4b11cf32390e56a6.png,Jade Carapace,Bugged Out,Banana Wrapped,Cape Of Beast Instincts,Green Machete
87,https://assets.otherside.xyz/kodas/f742a64cd625b93c6b5768fa65b8ee4e7597e225dbd6588f202246ea39fcf6e4.png,Fish Bowl,Bulls Eye,Skeletron,Heavy Iron Armor,
88,https://assets.otherside.xyz/kodas/d46dd3aeb991d48d969ad778f1f17b9b66b956c4dbf44947ed054bbf04527a68.png,Screwhorn,Eye Of Glob,8 Knit,Ice Crystal Armor,
89,https://assets.otherside.xyz/kodas/07cb9f3bd45f2e9dec74faf843f8e5a2d98f1a9475ec1857aff70702485a8118.png,Bleached Horns,Speechless,Stoney Pecs,Arcana Outfit,
90,https://assets.otherside.xyz/kodas/2df961ccd95ce709f55809baa03d91da608ba291885242aa669e858d97294d19.png,Sticks No Stones,Wormy,Leaf Me Alone,Jaded Gnaw Armor,
91,https://assets.otherside.xyz/kodas/e20f17d0e603db7dcb0332fe29941d8f382d70f701873fb71cb4517e787a13fb.png,Fish Bowl,Here And Everywhere,Pure Sinew,Minor Light Armor,Azure Fangs
92,https://assets.otherside.xyz/kodas/248010f5e6981d3b9db7d4ee95c30bc93312d0549deac34e29e5ec7a3ec49fd6.png,Winged Cheese,Intense Focus,Lava Lamp,,Axe of Descent
93,https://assets.otherside.xyz/kodas/dcaa97208ab04b88b3f84a3f28af386c33301b87b12ba8bc78cb6574872bb925.png,Blossom Bud,Amphiboid,Onyx Doom,,
95,https://assets.otherside.xyz/kodas/a12f091dfaa48e6e9fac045f709e90326ea21962fb47d44619fa4488b8bd86b0.png,Tri Vent,Snake Eyes,Desert Bot,,
96,https://assets.otherside.xyz/kodas/eafe6188734dfafc897cc58e2aca8c9a9fda3e0bd1485f55f225a0c7406e1a7b.png,Jade Carapace,Dimensional Sight,Globetrotter,Brawlers Outfit,Bad Mama Jama
97,https://assets.otherside.xyz/kodas/9790eb42502e518586a35fcfe29bb93602218999677cba2b33d87e6e1dedbddc.png,Winged Cheese,Boney,Woodland,Barely There Armor,Gallows Scape
98,https://assets.otherside.xyz/kodas/e6e9460cb503e72a24d99147c1c6e96585f9e8c8a4d19ab97bf3ce622480c6da.png,Muddy Explorer,Afraid,Magma Runes,Hardened Calcite Armor,Spade Blade
99,https://assets.otherside.xyz/kodas/dcd5849ce7b9a8371be8b21abf45bdd7dc4905769fde01d21758e64738199745.png,Bleached Horns,Bugged Out,Stoney Pecs,,
100,https://assets.otherside.xyz/kodas/6172b12158e2a29f2367ab461aaa85fc5e8498ab7380e50c34ce064319948550.png,Scorched Brain,Angry,Desert Bot,Boiled Armor,
101,https://assets.otherside.xyz/kodas/6c3ceb814e9774a9a6991803a05f755b2728e2fb748a0b02b7e4795d75817b22.png,Take Flight,Crusty,Patches,Armor Of Carnage,Crimson Edge
102,https://assets.otherside.xyz/kodas/b8595c6a93e5eead9df78813a0933e706625c4af8c8d2cf4eb1331266247ccb0.png,Twisty Horn,Smile,Woodland,Daybreak Armor,Truth Teller
104,https://assets.otherside.xyz/kodas/1aab9e2c7b321dc85849745f884ee82ef083eea54c73153a69b09b55599b81b2.png,Chomp Chomp,Mysterious,Onyx Doom,Explorers Outfit,
105,https://assets.otherside.xyz/kodas/1f91d8c909cddcea076100d0f6646c992a621d741f267361efeb1cae7dc403b7.png,Bleached Horns,Steely,Koda Bear,,
107,https://assets.otherside.xyz/kodas/e2fffef0ac4ba45248ecea99ec32624910cffbe82cb88c1e390adccd2e726218.png,Goliath Bull,Cyber Sight,Onyx Doom,Barely There Armor,
108,https://assets.otherside.xyz/kodas/4399f279239abd0cdf2d5aa1b4eb5c67b1ab8b455ab90479081e4292eb080be1.png,Tested Elder,Moon Pilot,Bubble And Toil,Minor Light Armor,
109,https://assets.otherside.xyz/kodas/0bd5478dca841650c10bee392cddf6fc38cbc1d561b97d549dfbb8c3f3a3e881.png,Spiked Wyvern,Boney,Bubble And Toil,Nomad Armor,
110,https://assets.otherside.xyz/kodas/0998b41eadf957e0adc8414339a8437828ee87afcb97b242656bfa6607b595a4.png,Scorched Brain,Trance,Orangetan,Cape Of Beast Instincts,
111,https://assets.otherside.xyz/kodas/0ffa10212f279e2cfcbf803da5fcb862933237cfef087abcfeae01346683ab71.png,Blue Crown,Lizard,X Ray,Grimace Armor,
112,https://assets.otherside.xyz/kodas/7f1cdf3d3a66c1d7796c50a3f853a37cf91abe1c32b6037a4e84e24f2fabc627.png,Bleached Horns,Infrared,Stone Hole Jackson,Wasterider Pauldrons,
113,https://assets.otherside.xyz/kodas/744501adac9df663083159c8992f7f566bf884d7496dd6ff313091830c0851e5.png,Bleached Horns,All Seeing Ooze,Bubble And Toil,Tough Armor,
114,https://assets.otherside.xyz/kodas/4b53a48b9c36557932f678ed25ddbeb69c19880019f5e6d1fcabffe3f29068f8.png,Dual Slick,Harpy,Spotty,Chrono Plate Armor,
115,https://assets.otherside.xyz/kodas/051323a066dfc9a37f82c81a49b3d3742d5c1845807a9d49b81a544ce8b38211.png,Blossom Bud,Coin Slots,Woodland Guardian,Feather Mantle,Pickles Pike
116,https://assets.otherside.xyz/kodas/bac75fc54378fedf6b03ff9083a202e07852ddd08e081104dc3709b72aa3ab6c.png,Drill Bit Droid,Swamp Secrets,Space Blob,Elite Crimson Armor,
117,https://assets.otherside.xyz/kodas/fcf5d3bd241e4c55d6f84461bd090f4cf14e5cfe1438a724274fed2d2b2fdbab.png,Nautilus Trench,Twenty Cubed,Storm Tracks,,
118,https://assets.otherside.xyz/kodas/3852db698cb69f13cfd3f9ff43b063e9d1c0c95fae300dc09d7c6fbc94902451.png,Mummified,Teething Eye,Stonebase,Beetle Shell,
121,https://assets.otherside.xyz/kodas/1b5d42478b69f0302061f8e6ae24441558c03fa3ce4eef32e2f1045585f9b852.png,Jade Carapace,Spider Trance,Banana Wrapped,Classic Mail Armor,Badlands Machete
122,https://assets.otherside.xyz/kodas/897bac1e6f69db66ca079b1c8fc8beda5479bceedcb26cd1ac237ffe41a2ad09.png,Vertical Vision,Tri Green,Aqua Gorilla,Planet Suitor,
123,https://assets.otherside.xyz/kodas/01c146b7a49eff70b8aef1c3eac2124ab09e3be9c3bf1938bc07fd27d3d3140e.png,Hoot,On The Edge,Cushioned,Champion Sash,
124,https://assets.otherside.xyz/kodas/c6c04a600717c9af43ca2f035cc3c5252588e7052c4ec5c20249bd7d5650576e.png,Dawn Disc,Spider Trance,Ivy Swirls,Stone Plate Armor,Gallows Scape
125,https://assets.otherside.xyz/kodas/6a229a01044617e02418d375bf64147666930426aaa7837a2938d47c0c314eaf.png,Demon Spawn,Black Hole,Lava Lamp,Armor Of Carnage,
126,https://assets.otherside.xyz/kodas/8162b2c5f698bd2a19de63e9059493544fadbc49b705f6ca7ff254235234258e.png,Sticks No Stones,Teething Eye,Woodland Guardian,Leafy Top,Pickles Pike
127,https://assets.otherside.xyz/kodas/7771a4cc625601adf4209ff8c45a3347cbfedf90b86bfef420a83b813e89f04d.png,Horned Lion,Stare Down,Amoebatopia,Hardened Leather Armor,
128,https://assets.otherside.xyz/kodas/bff2111e4fd5804a620f0799ebb66bd5f72f2265f094e9308101708a74cb28cb.png,Green Gill,Adorable Intake,Monster Smoke,Ascended Guard Armor,Shimmer_Blade
129,https://assets.otherside.xyz/kodas/37795eeb8917ae11f3c058aa836ed6af7f43a4a551e112d521a5f79946354ce0.png,Reef Dragon,Reptilian,Cushioned,Jaded Gnaw Armor,
130,https://assets.otherside.xyz/kodas/66a22b8d589af151055cfd1171ddc17507c22184a80767ad26e99df0f01a6cb8.png,Fairy Wisps,Arachnid,Grey Matter,Direplate,Cavern Haunter
131,https://assets.otherside.xyz/kodas/a3a8221d9460f4916131a09ccc4ee7a4e2cda0471c23f20497cf23111b09f2e0.png,Keep It Chill,Bulls Eye,Whirlpool,Coastal Scavenger,
132,https://assets.otherside.xyz/kodas/b3eb3d260de256faf7337d7f37be99577bc2b41a20b7272eb733e92802e8fe3f.png,Skull King,Dual Time,Husk,Ancient Chief,
133,https://assets.otherside.xyz/kodas/892277d46080a9065f912a855cc33e7bddbf294ffae3513c99680def96f30a47.png,Bleached Horns,Slimey Terror,Woodland Guardian,,
134,https://assets.otherside.xyz/kodas/ed7436adc51cf9edd676c2b6764a8605b85e156e7b7bf16a32446435ed4e05e7.png,Somethings Fishy,Twin Pits,Dino Egg,Enoki Cape,
135,https://assets.otherside.xyz/kodas/cd76bdd3c0f744b877a7b14298eafccf6d5d9fc93209d21a6de10e6fdc15faf3.png,Fish Bowl,Genis Gaze,Tranquil Water,Golden Caesars Dressing,
136,https://assets.otherside.xyz/kodas/53a50e3f7f08c87d042d136de694d65bd71e2e7218d17bf280c4e6b3428fb76a.png,Tri Vent,Squiggles,Spacesuit,Desola Armor,Undergrowth Stick
137,https://assets.otherside.xyz/kodas/997158c14797a6ece57e0949b8cc345eb65851eec297355a151378ba6bd080ce.png,Dawn Disc,Mysterious,Ivy Swirls,Cape Of Eternal Burning,
138,https://assets.otherside.xyz/kodas/05e5cbd7ca390c0afd6b12c99b47ff773bb6517641c82b9414c9ffc90e7a8b1b.png,Muddy Explorer,Here And Everywhere,Koda Bear,All Seeing Pauldron,
139,https://assets.otherside.xyz/kodas/5baf77616b4a7c4962c7a5d9b9a95fff58347a3bec38c2ab33c7182fe23f313a.png,Keep It Chill,Fluff Vision,Spotty,Nomad Armor,
140,https://assets.otherside.xyz/kodas/ca22333630c7d8cc07b058a4dfef0b805397efe3afd656de0e3853079d84aef3.png,Green Gill,Five Eye,Swamp Monster,Warriors Journey Garb,
141,https://assets.otherside.xyz/kodas/37ddb5d94f6cdaad438d4bf60ffab025dd810cb2746447dd7350d2ec625a8d4d.png,Keep It Chill,Sewed Wide Shut,Whirlpool,,Scavengers Blade
142,https://assets.otherside.xyz/kodas/ddb167c0e1786ed5a96611c9c375c2f6085bee0ca8a6520558d08761e6ea8ca6.png,Stubborn Ox,Analyze,Woodland,Cobalt Squad Belt,
143,https://assets.otherside.xyz/kodas/63d4fb1e273b80e152eb0d381ca4f1b911f0f896483fa27bb97f1cda432a2439.png,Swordfish,Bloodshot,Hypnotic,,Doomseeker
144,https://assets.otherside.xyz/kodas/a48de26faaca2359feb263b273c78e9973ea7dec03d14095c485f3cbd207d969.png,Winged Cheese,Dual Time,Sunflare,Light Foliage Armor,Occams Razor
146,https://assets.otherside.xyz/kodas/961a954d77b155f68805629674ed56d88150ff83642cda9ef60de000ff6239dd.png,Bleached Horns,Pink Staredown,Grey Matter,Explorers Outfit,
147,https://assets.otherside.xyz/kodas/8d45e4cfb7cecf5ce7fdc63a291f65a697c34a66b9c2a75ecbb887d98c2b1c7a.png,Drill Sergeant,Is Anyone Home,Amoebatopia,,
148,https://assets.otherside.xyz/kodas/241c1d0448363aa308518dba691ed17385b01770d70e684d3b4bb3fb6ad401bb.png,Manta Ray,Open Up,Barnacle Buddy,,
149,https://assets.otherside.xyz/kodas/0ac775f989442c9732fdf3983a3511a46c0294892049e6f0ed5488e4fea42791.png,Stubborn Ox,Dual Time,Desert Bot,Deaths Call Armor,
150,https://assets.otherside.xyz/kodas/7062c9bf3efcf1eb952e6f471d8fc02a8282ebd9e5e954aa3b629d8b7d96f1d5.png,John Doe,Reptilian,Tide Roller,Duster,
151,https://assets.otherside.xyz/kodas/25bf11e6b5d0701ced0444765d26637dadbc398b6acb644fe0b7a7f745c6bdcb.png,Creepy Crawly,Look Deep,Leaf Me Alone,Elite Crimson Armor,
152,https://assets.otherside.xyz/kodas/8e85221970353ecdb5c55fe22654b00ffdb375b54ef077e39f355d7b4d1667c6.png,Coral Delight,Bulls Eye,Berry Bomb,,
153,https://assets.otherside.xyz/kodas/785e1c936cdd17a05dd7d65cfbf01f845a998b5f1e7c5293b2bcac54ac7c5583.png,Drill Bit Droid,Sleepy,Onyx Doom,,
